IQ,Prev_Sem_Result,CGPA,Academic_Performance,Communication_Skills,Projects_Completed,Internship_Experience_Yes,Placement_Yes
0.5001345699594149,6,6,8,8,4,0,0
-0.16421357429739947,5,5,8,8,0,0,0
0.6330041988107776,5,5,9,1,1,0,0
1.4966567863446363,5,5,6,6,1,1,0
-0.2306483887230809,7,7,7,10,2,0,0
-0.2306483887230809,5,5,7,8,0,0,0
1.5630916007703177,6,6,5,8,2,0,1
0.7658738276621405,8,8,7,1,2,0,1
-0.49638764642580663,6,6,9,8,5,0,0
0.5665693843850963,8,8,4,9,1,0,0
-0.4299528320001252,8,8,2,6,0,1,0
-0.4299528320001252,6,6,8,7,4,0,0
0.2343953122566891,8,9,7,6,1,1,0
-1.8915187493651167,8,8,6,5,2,0,0
-1.6922143060880723,6,7,7,1,2,0,0
-0.562822460851488,6,5,3,2,3,0,0
-1.0278661618312581,7,7,6,10,0,0,0
0.3008301266823705,9,10,10,2,4,1,0
-0.8949965329798952,8,8,7,9,4,0,1
-1.4264750483853466,5,5,7,6,2,1,0
1.4302219719189548,8,8,5,3,3,1,1
-0.2306483887230809,7,7,3,3,3,1,0
0.10152568340532625,7,8,2,10,0,1,0
-1.4264750483853466,8,9,7,10,2,1,1
-0.562822460851488,7,7,4,2,2,1,0
0.10152568340532625,9,9,2,7,2,0,0
-1.160735790682621,8,8,8,1,0,0,0
0.36726494110805197,8,8,2,1,4,0,0
-0.6292572752771695,5,5,6,10,1,1,0
-0.29708320314876235,9,9,4,3,3,1,0
-0.6292572752771695,9,9,9,1,4,1,0
1.8288308584730435,5,6,5,3,1,0,0
-0.031343945446036615,7,7,4,9,4,0,0
-1.0278661618312581,6,6,8,7,4,0,0
0.832308642087822,8,9,3,9,4,1,1
-1.2271706051083024,8,9,9,7,4,1,0
0.2343953122566891,5,5,8,9,2,1,0
-1.957953563790798,9,9,8,3,4,0,0
-1.293605419533984,5,5,10,7,1,1,0
0.16796049783100767,8,8,5,6,1,0,0
0.7658738276621405,7,6,1,2,3,0,0
0.16796049783100767,6,6,10,6,5,0,0
-0.09777875987171805,5,5,9,3,0,0,0
-0.29708320314876235,5,5,2,2,1,1,0
-1.492909862811028,8,8,1,5,1,1,0
-0.6956920897028509,7,8,6,5,1,1,0
-0.4299528320001252,5,5,1,2,1,1,0
1.0316130853648662,5,5,10,3,0,1,0
0.36726494110805197,5,5,10,8,0,0,0
-1.7586491205137538,8,8,10,5,5,1,0
0.3008301266823705,8,8,7,8,4,0,1
-0.36351801757444374,5,5,7,10,5,1,0
-0.6956920897028509,7,7,1,4,1,1,0
0.6330041988107776,5,5,10,4,1,0,0
1.0316130853648662,9,9,5,6,3,0,1
0.8987434565135034,9,9,3,10,3,0,1
-0.8285617185542138,8,8,2,5,3,0,0
-0.29708320314876235,9,9,5,5,3,0,0
